season,week_ending,age_category,data_type,estimate
2018-19,2018-10-27,75+ yr,Cumulative Rate,2.0
2018-19,2018-10-27,5-17 yr,Cumulative Rate,0.0
2018-19,2018-10-27,Pediatrics,Weekly Rate,0.1
2018-19,2018-10-27,Overall,Cumulative Rate,0.0
2018-19,2018-10-27,Pediatrics,Cumulative Rate,0.0
2018-19,2018-10-27,5-11 yr,Weekly Rate,0.0
2018-19,2018-10-27,0-<1 yr,Weekly Rate,0.0
2018-19,2018-10-27,5-11 yr,Cumulative Rate,0.0
2018-19,2018-10-27,12-17 yr,Cumulative Rate,0.0
2018-19,2018-10-27,40-49 yr,Weekly Rate,0.1
2018-19,2018-10-27,5-17 yr,Weekly Rate,0.0
2018-19,2018-10-27,65-74 yr,Cumulative Rate,1.0
2018-19,2018-10-27,18-29 yr,Cumulative Rate,0.0
2018-19,2018-10-27,Adults,Weekly Rate,0.1
2018-19,2018-10-27,Overall,Weekly Rate,0.1
2018-19,2018-10-27,50-64 yr,Cumulative Rate,1.0
2018-19,2018-10-27,0-4 yr,Weekly Rate,0.2
2018-19,2018-10-27,75+ yr,Weekly Rate,0.5
2018-19,2018-11-03,75+ yr,Weekly Rate,0.7
2018-19,2018-11-03,18-49 yr,Cumulative Rate,0.0
2018-19,2018-11-03,5-17 yr,Weekly Rate,0.1
2018-19,2018-11-03,75-84 yr,Weekly Rate,0.3
2018-19,2018-11-03,0-<1 yr,Weekly Rate,0.9
2018-19,2018-11-03,30-39 yr,Weekly Rate,0.0
2018-19,2018-11-03,65+ yr,Weekly Rate,0.5
2018-19,2018-11-03,Pediatrics,Cumulative Rate,0.0
2018-19,2018-11-03,85+ yr,Cumulative Rate,4.0
2018-19,2018-11-03,Adults,Weekly Rate,0.2
2018-19,2018-11-03,65-74 yr,Weekly Rate,0.3
2018-19,2018-11-03,30-39 yr,Cumulative Rate,0.0
2018-19,2018-11-03,Adults,Cumulative Rate,1.0
2018-19,2018-11-03,Overall,Weekly Rate,0.2
2018-19,2018-11-03,Overall,Cumulative Rate,1.0
2018-19,2018-11-03,5-11 yr,Weekly Rate,0.1
2018-19,2018-11-03,40-49 yr,Cumulative Rate,1.0
2018-19,2018-11-03,18-49 yr,Weekly Rate,0.1
2018-19,2018-11-03,18-29 yr,Weekly Rate,0.1
2018-19,2018-11-03,12-17 yr,Weekly Rate,0.0
2018-19,2018-11-03,65+ yr,Cumulative Rate,2.0
2018-19,2018-11-03,40-49 yr,Weekly Rate,0.2
2018-19,2018-11-03,0-4 yr,Weekly Rate,0.5
2018-19,2018-11-03,75-84 yr,Cumulative Rate,2.0
2018-19,2018-11-03,0-<1 yr,Cumulative Rate,2.0
2018-19,2018-11-03,85+ yr,Weekly Rate,1.6
2018-19,2018-11-03,1-4 yr,Weekly Rate,0.4
2018-19,2018-11-03,0-4 yr,Cumulative Rate,1.0
2018-19,2018-11-03,5-17 yr,Cumulative Rate,0.0
2018-19,2018-11-03,12-17 yr,Cumulative Rate,0.0
2018-19,2018-11-03,Pediatrics,Weekly Rate,0.2
2018-19,2018-11-03,50-64 yr,Cumulative Rate,1.0
2018-19,2018-11-03,75+ yr,Cumulative Rate,2.0
2018-19,2018-11-03,1-4 yr,Cumulative Rate,1.0
2018-19,2018-11-03,5-11 yr,Cumulative Rate,0.0
2018-19,2018-11-03,50-64 yr,Weekly Rate,0.1
